time_months,at_risk,events,censored,survival_not_recovered,event_type,recovery_level
0,10,0,0,1.0,FIRST_CUT,50%
1,10,1,1,0.9,FIRST_CUT,50%
2,8,3,0,0.5625,FIRST_CUT,50%
3,5,1,0,0.45,FIRST_CUT,50%
18,4,1,0,0.3375,FIRST_CUT,50%
60,3,0,3,0.3375,FIRST_CUT,50%
0,10,0,0,1.0,FIRST_CUT,100%
1,10,1,1,0.9,FIRST_CUT,100%
10,8,1,0,0.7875,FIRST_CUT,100%
17,7,1,0,0.675,FIRST_CUT,100%
19,6,1,0,0.5625000000000001,FIRST_CUT,100%
25,5,1,0,0.4500000000000001,FIRST_CUT,100%
60,4,0,4,0.4500000000000001,FIRST_CUT,100%
0,10,0,0,1.0,FIRST_HIKE,50%
2,10,1,0,0.9,FIRST_HIKE,50%
3,9,2,0,0.7000000000000001,FIRST_HIKE,50%
4,7,1,0,0.6000000000000001,FIRST_HIKE,50%
8,6,1,0,0.5000000000000001,FIRST_HIKE,50%
10,5,1,0,0.40000000000000013,FIRST_HIKE,50%
11,4,1,0,0.3000000000000001,FIRST_HIKE,50%
19,3,1,0,0.2000000000000001,FIRST_HIKE,50%
60,2,0,2,0.2000000000000001,FIRST_HIKE,50%
0,10,0,0,1.0,FIRST_HIKE,100%
6,10,1,0,0.9,FIRST_HIKE,100%
10,9,1,0,0.7999999999999999,FIRST_HIKE,100%
11,8,1,0,0.7,FIRST_HIKE,100%
13,7,1,0,0.6,FIRST_HIKE,100%
19,6,1,0,0.5,FIRST_HIKE,100%
30,5,1,0,0.4,FIRST_HIKE,100%
60,4,0,4,0.4,FIRST_HIKE,100%
0,10,0,0,1.0,LAST_HIKE,50%
1,10,1,0,0.9,LAST_HIKE,50%
2,9,2,0,0.7000000000000001,LAST_HIKE,50%
3,7,1,0,0.6000000000000001,LAST_HIKE,50%
5,6,1,0,0.5000000000000001,LAST_HIKE,50%
15,5,1,0,0.40000000000000013,LAST_HIKE,50%
18,4,1,0,0.3000000000000001,LAST_HIKE,50%
60,3,0,3,0.3000000000000001,LAST_HIKE,50%
0,10,0,0,1.0,LAST_HIKE,100%
1,10,1,0,0.9,LAST_HIKE,100%
6,9,1,0,0.7999999999999999,LAST_HIKE,100%
10,8,1,0,0.7,LAST_HIKE,100%
17,7,1,0,0.6,LAST_HIKE,100%
19,6,1,0,0.5,LAST_HIKE,100%
28,5,1,0,0.4,LAST_HIKE,100%
60,4,0,4,0.4,LAST_HIKE,100%
0,7,0,0,1.0,PAUSE_START,50%
1,7,2,0,0.7142857142857143,PAUSE_START,50%
2,5,1,0,0.5714285714285715,PAUSE_START,50%
6,4,1,0,0.4285714285714286,PAUSE_START,50%
15,3,1,0,0.28571428571428575,PAUSE_START,50%
60,2,0,2,0.28571428571428575,PAUSE_START,50%
0,7,0,0,1.0,PAUSE_START,100%
1,7,1,0,0.8571428571428572,PAUSE_START,100%
5,6,1,0,0.7142857142857144,PAUSE_START,100%
13,5,1,0,0.5714285714285715,PAUSE_START,100%
17,4,1,0,0.4285714285714286,PAUSE_START,100%
28,3,1,0,0.28571428571428575,PAUSE_START,100%
60,2,0,2,0.28571428571428575,PAUSE_START,100%
